lat,lon,sza
-89,-179,71.9052381742755
-88,-179,70.90610237179087
-87,-179,69.90697653672109
-86,-179,68.90786141982281
-85,-179,67.9087578054294
-84,-179,66.9096665143943
-83,-179,65.9105884072773
-82,-179,64.91152438780179
-81,-179,63.91247540661362
-80,-179,62.91344246537672
-79,-179,61.914426621244566
-78,-179,60.91542899175197
-77,-179,59.91645076017704
-76,-179,58.91749318143058
-75,-179,57.91855758853702
-74,-179,56.91964539978098
-73,-179,55.920758126603104
-72,-179,54.92189738234141
-71,-179,53.92306489192874
-70,-179,52.92426250267281
-69,-179,51.9254921962654
-68,-179,50.92675610219002
-67,-179,49.92805651272369
-66,-179,48.929395899761644
-65,-179,47.930776933730165
-64,-179,46.93220250489908
-63,-179,45.933675747458686
-62,-179,44.935200066790706
-61,-179,43.936779170440964
-60,-179,42.93841710339494
-59,-179,41.94011828837226
-58,-179,40.941887571994705
-57,-179,39.94373027785294
-56,-179,38.94565226770632
-55,-179,37.94766001230885
-54,-179,36.949760673675904
-53,-179,35.951962201007184
-52,-179,34.95427344298495
-51,-179,33.956704279803034
-50,-179,32.959265779089975
-49,-179,31.9619703809237
-48,-179,30.96483211846643
-47,-179,29.967866882476322
-46,-179,28.971092740209585
-45,-179,27.974530322204593
-44,-179,26.978203294395406
-43,-179,25.982138938313508
-42,-179,24.986368869331788
-41,-179,23.99092993276115
-40,-179,22.99586533125807
-39,-179,22.001226056137916
-38,-179,21.007072722363716
-37,-179,20.013477946121608
-36,-179,19.020529461133414
-35,-179,18.028334254948735
-34,-179,17.03702413525049
-33,-179,16.046763334992654
-32,-179,15.057759078658181
-31,-179,14.070276538051179
-30,-179,13.084660444782092
-29,-179,12.10136705726026
-28,-179,11.121012699831201
-27,-179,10.14444969148666
-26,-179,9.172889220195984
-25,-179,8.208108075640713
-24,-179,7.252812363860207
-23,-179,6.311310983346611
-22,-179,5.390836476595629
-21,-179,4.504298379950561
-20,-179,3.676330486346038
-19,-179,2.9565562713154
-18,-179,2.4425728601815915
-17,-179,2.2782049776053963
-16,-179,2.5324676410981777
-15,-179,3.1041400188732147
-14,-179,3.8544903749381576
-13,-179,4.698683197867328
-12,-179,5.594396051933445
-11,-179,6.52043131731753
-10,-179,7.46551363960321
-9,-179,8.423234106667712
-8,-179,9.3897262233515
-7,-179,10.362535789391437
-6,-179,11.340036932975714
-5,-179,12.32111292293546
-4,-179,13.304972822843531
-3,-179,14.291041512553965
-2,-179,15.278891182829003
-1,-179,16.26819723430808
0,-179,17.258709054091483
1,-179,18.250230150291326
2,-179,19.242604338430116
3,-179,20.235705939752528
4,-179,21.229432698843862
5,-179,22.223700581650228
6,-179,23.218439897539902
7,-179,24.213592369112657
8,-179,25.209108890658417
9,-179,26.204947793919263
10,-179,27.201073492309657
11,-179,28.197455410776808
12,-179,29.194067133578734
13,-179,30.190885719979562
14,-179,31.187891150539166
15,-179,32.1850658758519
16,-179,33.182394446305345
17,-179,34.179863206398636
18,-179,35.177460040869995
19,-179,36.1751741626789
20,-179,37.17299593501408
21,-179,38.170916721126225
22,-179,39.16892875704286
23,-179,40.167025043199956
24,-179,41.16519925179039
25,-179,42.163445647233544
26,-179,43.161759017647796
27,-179,44.16013461558986
28,-179,45.15856810663043
29,-179,46.15705552458265
30,-179,47.15559323239922
31,-179,48.15417788791723
32,-179,49.15280641376222
33,-179,50.15147597083288
34,-179,51.150183934877326
35,-179,52.1489278757471
36,-179,53.14770553897679
37,-179,54.14651482938879
38,-179,55.14535379646666
39,-179,56.14422062127639
40,-179,57.143113604746006
41,-179,58.14203115713962
42,-179,59.14097178858432
43,-179,60.13993410052705
44,-179,61.138916778014156
45,-179,62.13791858270083
46,-179,63.13693834650834
47,-179,64.1359749658581
48,-179,65.13502739641955
49,-179,66.13409464831652
50,-179,67.13317578174345
51,-179,68.13226990294845
52,-179,69.13137616054472
53,-179,70.13049374211649
54,-179,71.12962187108945
55,-179,72.12875980383829
56,-179,73.12790682700756
57,-179,74.12706225502406
58,-179,75.12622542778129
59,-179,76.12539570847852
60,-179,77.12457248159845
61,-179,78.12375515100926
62,-179,79.1229431381778
63,-179,80.12213588048209
64,-179,81.12133282961219
65,-179,82.12053345004918
66,-179,83.11973721761326
67,-179,84.1189436180719
68,-179,85.1181521458003
69,-179,86.11736230248644
70,-179,87.11657359587343
71,-179,88.11578553853245
72,-179,89.1149976466596
73,-179,90.11420943889046
74,-179,91.11342043512586
75,-179,92.11263015536323
76,-179,93.11183811852695
77,-179,94.11104384129202
78,-179,95.11024683689485
79,-179,96.10944661392487
80,-179,97.10864267509055
81,-179,98.10783451595336
82,-179,99.10702162362249
83,-179,100.10620347540339
84,-179,101.1053795373921
85,-179,102.10454926300733
86,-179,103.1037120914515
87,-179,104.1028674460912
88,-179,105.10201473274685
89,-179,106.10115333788033
-89,-178,71.90466225450083
-88,-178,70.90494392738921
-87,-178,69.90522848805205
-86,-178,68.90551619214345
-85,-178,67.90580730677291
-84,-178,66.9061021114972
-83,-178,65.90640089939401
-82,-178,64.90670397822721
-81,-178,63.90701167171391
-80,-178,62.90732432090532
-79,-178,61.90764228569445
-78,-178,60.90796594646589
-77,-178,59.90829570590452
-76,-178,58.90863199098227
-75,-178,57.90897525514522
-74,-178,56.9093259807254
-73,-178,55.90968468160628
-72,-178,54.91005190617414
-71,-178,53.910428240593056
-70,-178,52.910814312446284
-69,-178,51.911210794793774
-68,-178,50.911618410703326
-67,-178,49.912037938321745
-66,-178,48.912470216563854
-65,-178,47.91291615150916
-64,-178,46.913376723612444
-63,-178,45.91385299585213
-62,-178,44.91434612296258
-61,-178,43.914857361923254
